ID,Class,Virtual Student Number
367,22,830822229
368,22,830822230
369,22,830822231
370,22,830822232
371,22,830822233
372,22,830822234
373,22,830822235
374,22,830822236
375,22,830822237
376,22,830822238
377,22,830822239
378,22,830822240
379,22,830822241
380,22,830822242
381,22,830822243
382,22,830822244
383,22,830822245
384,22,830822246
385,22,830822247
386,23,830822301
387,23,830822302
388,23,830822303
389,23,830822304
390,23,830822305
391,23,830822306
392,23,830822307
393,23,830822308
394,23,830822309
395,23,830822310
396,23,830822311
397,23,830822312
398,23,830822313
399,23,830822314
400,23,830822315
401,23,830822316
402,23,830822317
403,23,830822318
404,23,830822319
405,23,830822320
406,23,830822321
407,23,830822322
408,23,830822323
409,23,830822324
410,23,830822325
